Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
Ringling Bros. Lion Tableau Wagon,Sebastian Wagon Works,1880,1880,1880,,Circus World Museum,"38.89511,-77.03637",38.89511,-77.03637,North America United States of America,"https://content.wdl.org/iiif/10695,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/10695/,The arts,fine & decorative arts,Architecture,Design & decoration,Recreational & performing arts,Public performances,Circus,Cole Brothers Circus,Great Forepaugh Show,Ringling Brothers,Wagons,,,,,,,,,,,
The First Folio of Shakespeare,"Shakespeare, William, 1564-1616,Droeshout, Martin, born 1601,Blount, Edward, flourished 1588-1632,Jaggard, Isaac, died 1627",1623,1623,1623,,Folger Shakespeare Library,"48.2084899949,16.3720799977",48.2084899949,16.3720799977,"Europe,Europe United Kingdom of Great Britain and Northern Ireland England","https://content.wdl.org/iiif/11290,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11290/,Literature & rhetoric,English and Old English (Anglo-Saxon) literatures,English drama,Drama,,,,,,,,,,,,,,,,,,
The Lincoln Bible,undefined,1853,1853,1853,,Library of Congress,"38.89511,-77.03637",38.89511,-77.03637,North America United States of America,"https://content.wdl.org/iiif/11358,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11358/,Religion,Bible,History & geography,History of North America,United States,"Lincoln, Abraham, 1809-1865","Obama, Barack, born 1961",,,,,,,,,,,,,,,
Comprehensive Mirror to Aid in Government,"Sima, Guang, 1019-1086",1127,1279,"1127,1279",,National Central Library,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/11381,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11381/,History & geography,History of Asia,Far East,China & adjacent areas,"China--History--Warring States, 403-221 B.C.",,,,,,,,,,,,,,,,,
New Records on the Travel Round the Globe,"Li, Gui, 1842-1903",1878,1878,1878,,National Central Library,"31.22222,121.45806",31.22222,121.45806,"East Asia China Shanghai,Europe France Île-de-France Paris,Europe United Kingdom of Great Britain and Northern Ireland England London,North America United States of America District of Columbia Washington,North America United States of America Massachusetts Boston,North America United States of America New York,North America United States of America Pennsylvania Philadelphia","https://content.wdl.org/iiif/11419,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11419/,History & geography,Geography & travel,"Centennial International Exhibition (1876 : Philadelphia, Pennsylvania)",Description and travel,Exhibitions and displays,Fairs,,,,,,,,,,,,,,,,
Guide to Astronomy,undefined,1790,1790,1790,,National Central Library,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/11430,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11430/,Philosophy & psychology,Parapsychology & occultism,Specific topics in parapsychology & occultism,Natural sciences & mathematics,Astronomy & allied sciences,Astrology,"Astronomy, Chinese",Constellations,Divination,Planets,,,,,,,,,,,,
Arabia: The Cradle of Islam,"Zwemer, Samuel Marinus, 1867-1952,Dennis, James S. (James Shepard), 1842-1914",1900,1900,1900,,Library of Congress,"30.0626299962,31.2496699957",30.0626299962,31.2496699957,Middle East and North Africa,"https://content.wdl.org/iiif/11757,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11757/,Religion,Other religions,"Islam, Babism & Bahai Faith",History & geography,Geography & travel,Geography of & travel in Asia,Arabian Peninsula,Arabic language,Arabic literature,Description and travel,Islam,Missionaries,Missions,"Muḥammad, Prophet, died 632",Politics and government,,,,,,,
"Arabia: Comprising Its Geography, History, and Topography","Conder, Josiah, 1789-1855",1833,1833,1833,,Library of Congress,"35.69439,51.42151",35.69439,51.42151,"Central and South Asia Iran, Islamic Republic of,Middle East and North Africa Bahrain,Middle East and North Africa Egypt,Middle East and North Africa Iraq,Middle East and North Africa Jordan,Middle East and North Africa Kuwait,Middle East and North Africa Oman,Middle East and North Africa Qatar,Middle East and North Africa Saudi Arabia,Middle East and North Africa Syrian Arab Republic,Middle East and North Africa United Arab Emirates,Middle East and North Africa Yemen","https://content.wdl.org/iiif/11761,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11761/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Bible. Old Testament,Description and travel,Holy Roman Empire,Islam,"Muḥammad, Prophet, died 632",,,,,,,,,,
"Life in the Desert, or, Recollections of Travel in Asia and Africa","Dumas, Alexandre, 1802-1870,Lapeyrouce, M. Stanislaus de,Du Couret, Louis, 1812-1867?",1860,1860,1860,,Library of Congress,"15.33805,38.93184",15.33805,38.93184,"Africa Eritrea,Africa Ethiopia,Africa Somalia,Middle East and North Africa Bahrain,Middle East and North Africa Oman,Middle East and North Africa Qatar,Middle East and North Africa Saudi Arabia,Middle East and North Africa United Arab Emirates,Middle East and North Africa Yemen","https://content.wdl.org/iiif/11762,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11762/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Arabian Peninsula--Social life and customs,Description and travel,,,,,,,,,,,,,
From the Indus to the Tigris,"Bellew, H. W. (Henry Walter), 1834-1892",1874,1874,1874,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Central and South Asia Iran, Islamic Republic of,Central and South Asia Pakistan,Middle East and North Africa Iraq","https://content.wdl.org/iiif/11793,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11793/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Brahui language,Description and travel,Economic conditions,Library of Congress Afghanistan Project,Manners and customs,Politics and government,,,,,,,,,,
