Record URL,Place,LatLong
https://www.wdl.org/en/item/1901/,"East Asia China Gansu Province Lanzhou","36.05701, 103.83987"
https://www.wdl.org/en/item/9189/,"Europe Belgium","50.85045, 4.34878"
https://www.wdl.org/en/item/17737/,"Central and South Asia Afghanistan Herāt Herat","34.4999999958, 61.9999999914"
https://www.wdl.org/en/item/19218/,"Europe United Kingdom of Great Britain and Northern Ireland England","52.1604499948, -0.703119999902"
https://www.wdl.org/en/item/2375/,"East Asia Democratic People's Republic of Korea","39.03385, 125.75432"
https://www.wdl.org/en/item/19223/,"Europe Belgium Hainaut","49.0997199948, 3.75749999948"
https://www.wdl.org/en/item/17626/,"Middle East and North Africa Israel Jerusalem","31.76904, 35.21633"
https://www.wdl.org/en/item/19486/,"East Asia China","39.9075, 116.39723"
https://www.wdl.org/en/item/19380/,"Central and South Asia Afghanistan Herāt Herat","34.4999999958, 61.9999999914"
https://www.wdl.org/en/item/215/,"Latin America and the Caribbean Brazil","-15.77972, -47.92972"
https://www.wdl.org/en/item/18549/,"Middle East and North Africa Egypt Janūb Sīnā'","29.0, 33.8"
https://www.wdl.org/en/item/17235/,"Central and South Asia India","28.63576, 77.22445"
https://www.wdl.org/en/item/17775/,"Central and South Asia India Mahārāshtra Mumbai","19.07283, 72.88261"
https://www.wdl.org/en/item/16719/,"Central and South Asia Kazakhstan Almaty Almaty","43.2565399951, 76.9284799893"
https://www.wdl.org/en/item/7317/,"Africa","7.49999999896, 29.9999999958"
https://www.wdl.org/en/item/18545/,"Europe Denmark","55.67594, 12.56553"
https://www.wdl.org/en/item/7769/,"Africa South Sudan","0.49999999993, 31.9999999955"
https://www.wdl.org/en/item/2396/,"Africa Seychelles","-4.61667, 55.45"
https://www.wdl.org/en/item/629/,"Europe Andorra","42.50779, 1.52109"
https://www.wdl.org/en/item/9944/,"Africa Kenya","-1.28333, 36.81667"
https://www.wdl.org/en/item/7311/,"Antarctica","-82.6762799972, 8.78905999878"
https://www.wdl.org/en/item/4397/,"Latin America and the Caribbean","-9.99999999862, -54.9999999923"
https://www.wdl.org/en/item/16916/,"Latin America and the Caribbean Jamaica","17.99702, -76.79358"
https://www.wdl.org/en/item/4396/,"Europe France Martinique","14.666669998, -60.9999999915"
